date,sku,product,category,units_sold,weather,holiday
2025-11-23,MILK-1L,Milk 1L,Dairy,79,rain,
2025-11-23,BREAD-WHT,White Bread,Bakery,82,rain,
2025-11-23,EGGS-12,Eggs 12 Pack,Protein,56,rain,
2025-11-23,RICE-5KG,Rice 5kg,Staples,35,rain,
2025-11-23,ICECREAM,Ice Cream,Frozen,29,rain,
2025-11-23,UMBRELLA,Umbrella,Seasonal,34,rain,
2025-11-23,SOUP,Instant Soup,Packaged,28,rain,
2025-11-23,SODA,Soda Cans,Beverages,42,rain,
2025-11-24,MILK-1L,Milk 1L,Dairy,74,cold,
2025-11-24,BREAD-WHT,White Bread,Bakery,71,cold,
2025-11-24,EGGS-12,Eggs 12 Pack,Protein,45,cold,
2025-11-24,RICE-5KG,Rice 5kg,Staples,25,cold,
2025-11-24,ICECREAM,Ice Cream,Frozen,20,cold,
2025-11-24,UMBRELLA,Umbrella,Seasonal,9,cold,
2025-11-24,SOUP,Instant Soup,Packaged,34,cold,
2025-11-24,SODA,Soda Cans,Beverages,32,cold,
2025-11-25,MILK-1L,Milk 1L,Dairy,74,hot,
2025-11-25,BREAD-WHT,White Bread,Bakery,73,hot,
2025-11-25,EGGS-12,Eggs 12 Pack,Protein,51,hot,
2025-11-25,RICE-5KG,Rice 5kg,Staples,26,hot,
2025-11-25,ICECREAM,Ice Cream,Frozen,44,hot,
2025-11-25,UMBRELLA,Umbrella,Seasonal,7,hot,
2025-11-25,SOUP,Instant Soup,Packaged,13,hot,
2025-11-25,SODA,Soda Cans,Beverages,51,hot,
2025-11-26,MILK-1L,Milk 1L,Dairy,90,cold,
2025-11-26,BREAD-WHT,White Bread,Bakery,74,cold,
2025-11-26,EGGS-12,Eggs 12 Pack,Protein,57,cold,
2025-11-26,RICE-5KG,Rice 5kg,Staples,29,cold,
2025-11-26,ICECREAM,Ice Cream,Frozen,20,cold,
2025-11-26,UMBRELLA,Umbrella,Seasonal,11,cold,
2025-11-26,SOUP,Instant Soup,Packaged,36,cold,
2025-11-26,SODA,Soda Cans,Beverages,32,cold,
2025-11-27,MILK-1L,Milk 1L,Dairy,90,hot,
2025-11-27,BREAD-WHT,White Bread,Bakery,74,hot,
2025-11-27,EGGS-12,Eggs 12 Pack,Protein,50,hot,
2025-11-27,RICE-5KG,Rice 5kg,Staples,29,hot,
2025-11-27,ICECREAM,Ice Cream,Frozen,42,hot,
2025-11-27,UMBRELLA,Umbrella,Seasonal,6,hot,
2025-11-27,SOUP,Instant Soup,Packaged,13,hot,
2025-11-27,SODA,Soda Cans,Beverages,51,hot,
2025-11-28,MILK-1L,Milk 1L,Dairy,72,cold,
2025-11-28,BREAD-WHT,White Bread,Bakery,67,cold,
2025-11-28,EGGS-12,Eggs 12 Pack,Protein,55,cold,
2025-11-28,RICE-5KG,Rice 5kg,Staples,26,cold,
2025-11-28,ICECREAM,Ice Cream,Frozen,19,cold,
2025-11-28,UMBRELLA,Umbrella,Seasonal,8,cold,
2025-11-28,SOUP,Instant Soup,Packaged,35,cold,
2025-11-28,SODA,Soda Cans,Beverages,36,cold,
2025-11-29,MILK-1L,Milk 1L,Dairy,95,rain,
2025-11-29,BREAD-WHT,White Bread,Bakery,80,rain,
2025-11-29,EGGS-12,Eggs 12 Pack,Protein,66,rain,
2025-11-29,RICE-5KG,Rice 5kg,Staples,30,rain,
2025-11-29,ICECREAM,Ice Cream,Frozen,27,rain,
2025-11-29,UMBRELLA,Umbrella,Seasonal,35,rain,
2025-11-29,SOUP,Instant Soup,Packaged,33,rain,
2025-11-29,SODA,Soda Cans,Beverages,44,rain,
2025-11-30,MILK-1L,Milk 1L,Dairy,102,rain,
2025-11-30,BREAD-WHT,White Bread,Bakery,96,rain,
2025-11-30,EGGS-12,Eggs 12 Pack,Protein,57,rain,
2025-11-30,RICE-5KG,Rice 5kg,Staples,28,rain,
2025-11-30,ICECREAM,Ice Cream,Frozen,26,rain,
2025-11-30,UMBRELLA,Umbrella,Seasonal,29,rain,
2025-11-30,SOUP,Instant Soup,Packaged,29,rain,
2025-11-30,SODA,Soda Cans,Beverages,49,rain,
2025-12-01,MILK-1L,Milk 1L,Dairy,94,hot,
2025-12-01,BREAD-WHT,White Bread,Bakery,79,hot,
2025-12-01,EGGS-12,Eggs 12 Pack,Protein,54,hot,
2025-12-01,RICE-5KG,Rice 5kg,Staples,34,hot,
2025-12-01,ICECREAM,Ice Cream,Frozen,54,hot,
2025-12-01,UMBRELLA,Umbrella,Seasonal,7,hot,
2025-12-01,SOUP,Instant Soup,Packaged,14,hot,
2025-12-01,SODA,Soda Cans,Beverages,67,hot,
2025-12-02,MILK-1L,Milk 1L,Dairy,95,cold,
2025-12-02,BREAD-WHT,White Bread,Bakery,91,cold,
2025-12-02,EGGS-12,Eggs 12 Pack,Protein,58,cold,
2025-12-02,RICE-5KG,Rice 5kg,Staples,28,cold,
2025-12-02,ICECREAM,Ice Cream,Frozen,26,cold,
2025-12-02,UMBRELLA,Umbrella,Seasonal,11,cold,
2025-12-02,SOUP,Instant Soup,Packaged,37,cold,
2025-12-02,SODA,Soda Cans,Beverages,31,cold,
2025-12-03,MILK-1L,Milk 1L,Dairy,85,cold,
2025-12-03,BREAD-WHT,White Bread,Bakery,78,cold,
2025-12-03,EGGS-12,Eggs 12 Pack,Protein,52,cold,
2025-12-03,RICE-5KG,Rice 5kg,Staples,24,cold,
2025-12-03,ICECREAM,Ice Cream,Frozen,19,cold,
2025-12-03,UMBRELLA,Umbrella,Seasonal,11,cold,
2025-12-03,SOUP,Instant Soup,Packaged,38,cold,
2025-12-03,SODA,Soda Cans,Beverages,36,cold,
2025-12-04,MILK-1L,Milk 1L,Dairy,75,hot,
2025-12-04,BREAD-WHT,White Bread,Bakery,72,hot,
2025-12-04,EGGS-12,Eggs 12 Pack,Protein,52,hot,
2025-12-04,RICE-5KG,Rice 5kg,Staples,28,hot,
2025-12-04,ICECREAM,Ice Cream,Frozen,46,hot,
2025-12-04,UMBRELLA,Umbrella,Seasonal,7,hot,
2025-12-04,SOUP,Instant Soup,Packaged,12,hot,
2025-12-04,SODA,Soda Cans,Beverages,57,hot,
2025-12-05,MILK-1L,Milk 1L,Dairy,93,cold,
2025-12-05,BREAD-WHT,White Bread,Bakery,80,cold,
2025-12-05,EGGS-12,Eggs 12 Pack,Protein,49,cold,
2025-12-05,RICE-5KG,Rice 5kg,Staples,27,cold,
2025-12-05,ICECREAM,Ice Cream,Frozen,18,cold,
2025-12-05,UMBRELLA,Umbrella,Seasonal,11,cold,
2025-12-05,SOUP,Instant Soup,Packaged,42,cold,
2025-12-05,SODA,Soda Cans,Beverages,30,cold,
2025-12-06,MILK-1L,Milk 1L,Dairy,96,rain,
2025-12-06,BREAD-WHT,White Bread,Bakery,80,rain,
2025-12-06,EGGS-12,Eggs 12 Pack,Protein,67,rain,
2025-12-06,RICE-5KG,Rice 5kg,Staples,34,rain,
2025-12-06,ICECREAM,Ice Cream,Frozen,31,rain,
2025-12-06,UMBRELLA,Umbrella,Seasonal,31,rain,
